Zone,Cerfs
1,1113.0
2,853.0
3,1804.0
4,3773.0
5,1833.0
6,4599.0
7,2766.0
8,2835.0
9,1334.0
10,5480.0
11,1315.0
12,16.0
13,8.0
15,212.0
20,4753.0
26,79.0
27,599.0
28,80.0
