Zone,Cerfs
1,1159.0
2,887.0
3,1619.0
4,3811.0
5,1824.0
6,4306.0
7,2559.0
8,3249.0
9,1410.0
10,5599.0
11,1329.0
12,17.0
13,7.0
15,290.0
20,4780.0
26,175.0
27,554.0
28,91.0
