Zone,Cerfs
1,912.0
2,716.0
3,1517.0
4,3192.0
5,1552.0
6,3880.0
7,2321.0
8,2397.0
9,1118.0
10,4601.0
11,1095.0
12,13.0
13,6.0
15,176.0
20,3999.0
26,68.0
27,504.0
28,74.0
